"region","acq_date","avg_brightness"
"Queensland",2019-09-18,329.247580645161
"Queensland",2019-09-19,327.966896551724
"Queensland",2019-09-20,325.793693693694
"Queensland",2019-09-21,327.748979591837
"Queensland",2019-09-22,320.429365079365
"Queensland",2019-09-23,330.808556149733
"Queensland",2019-09-24,323.815463917526
"Queensland",2019-09-25,332.910638297872
"Queensland",2019-09-26,320.836585365854
"Queensland",2019-09-27,329.041798941799
"Queensland",2019-09-28,333.257792207792
"Queensland",2019-09-29,322.361904761905
"Queensland",2019-09-30,338.646478873239
"Western Australia",2019-08-01,324.8
"Western Australia",2019-08-02,321.234042553192
"Western Australia",2019-08-03,321.872727272727
"Western Australia",2019-08-04,326.2
"Western Australia",2019-08-05,321.591666666667
"Western Australia",2019-08-06,326.315384615385
"Western Australia",2019-08-07,327.206451612903
"Western Australia",2019-08-08,320.793333333333
"Western Australia",2019-08-09,313.5075
"Western Australia",2019-08-10,333.07012987013
"Western Australia",2019-08-11,322.595454545455
"Western Australia",2019-08-12,318.897674418605
"Western Australia",2019-08-13,320.304761904762
"Western Australia",2019-08-14,314.911764705882
"Western Australia",2019-08-15,321.331818181818
"Western Australia",2019-08-16,326.587931034483
"Western Australia",2019-08-17,333.416
"Western Australia",2019-08-18,318.48
"Western Australia",2019-08-19,319.6
"Western Australia",2019-08-20,316.038888888889
"Western Australia",2019-08-21,323.414814814815
"Western Australia",2019-08-22,326.770588235294
"Western Australia",2019-08-23,326.1
"Western Australia",2019-08-24,334.317948717949
"Western Australia",2019-08-25,327.008695652174
"Western Australia",2019-08-26,326.9
"Western Australia",2019-08-27,318.182352941176
"Western Australia",2019-08-28,323.816666666667
"Western Australia",2019-08-29,330.214285714286
"Western Australia",2019-08-30,324.140909090909
"Western Australia",2019-08-31,331.085185185185
"Western Australia",2019-09-01,328.85652173913
"Western Australia",2019-09-02,337.778260869565
"Western Australia",2019-09-03,327.967441860465
"Western Australia",2019-09-04,341.757692307692
"Western Australia",2019-09-05,318.135714285714
"Western Australia",2019-09-06,317.390697674419
"Western Australia",2019-09-07,341.34
