"region","acq_date","avg_brightness","avg_frp"
"Queensland","2019-08-10",321.419936708861,44.5604430379747
"Queensland","2019-08-11",323.269503546099,46.6542553191489
"Queensland","2019-08-12",317.393890675241,30.8845659163987
"Queensland","2019-08-13",322.428624535316,28.6646840148699
"Queensland","2019-08-14",314.123888888889,33.0755555555556
"Queensland","2019-08-15",317.840404040404,18.1272727272727
"Queensland","2019-08-16",318.576842105263,41.0936842105263
"Queensland","2019-08-17",319.143650793651,19.9896825396825
"Queensland","2019-08-18",320.096842105263,27.2505263157895
"Queensland","2019-08-19",318.302040816327,32.430612244898
"Queensland","2019-08-20",322.327325581395,42.4755813953488
"Queensland","2019-08-21",316.371282051282,38.5430769230769
"Queensland","2019-08-22",328.023943661972,39.0145539906103
"Queensland","2019-08-23",318.289565217391,26.9113043478261
"Queensland","2019-08-24",324.848427672956,33.8283018867925
"Queensland","2019-08-25",320.167088607595,28.1810126582278
"Queensland","2019-08-26",322.719323671498,45.2193236714976
"Queensland","2019-08-27",328.541610738255,33.3060402684564
"Queensland","2019-08-28",328.024175824176,45.05
"Queensland","2019-08-29",330.333734939759,58.2710843373494
"Queensland","2019-08-30",322.278571428571,40.5621428571429
"Queensland","2019-08-31",329.344247787611,37.5938053097345
"Queensland","2019-09-01",325.266176470588,42.5602941176471
"Queensland","2019-09-02",322.66880733945,39.8908256880734
"Queensland","2019-09-03",324.738036809816,47.8276073619632
"Queensland","2019-09-04",324.205882352941,42.260553633218
"Queensland","2019-09-05",331.694827586207,60.6814655172414
"Queensland","2019-09-06",331.822060470325,96.4998880179171
"Queensland","2019-09-07",333.18962386511,56.7376134889754
"Queensland","2019-09-08",325.41025974026,71.6933766233766
"Queensland","2019-09-09",334.944146341463,66.7291463414634
"Queensland","2019-09-10",325.898684210526,55.2631578947368
"Queensland","2019-09-11",326.591160220994,37.3204419889503
"Queensland","2019-09-12",328.947916666667,112.616319444444
"Queensland","2019-09-13",327.784137931034,66.6786206896552
"Queensland","2019-09-14",335.172491909385,90.2893203883495
"Queensland","2019-09-15",318.731020408163,34.4722448979592
"Queensland","2019-09-16",333.992462311558,66.0180904522613
"Queensland","2019-09-17",328.40303030303,72.5838383838384
"Queensland","2019-09-18",329.247580645161,56.2
"Queensland","2019-09-19",327.966896551724,41.4179310344828
"Queensland","2019-09-20",325.793693693694,50.4522522522523
"Queensland","2019-09-21",327.748979591837,29.0857142857143
"Queensland","2019-09-22",320.429365079365,43.7873015873016
"Queensland","2019-09-23",330.808556149733,51.983422459893
"Queensland","2019-09-24",323.815463917526,30.2329896907216
"Queensland","2019-09-25",332.910638297872,47.136170212766
"Queensland","2019-09-26",320.836585365854,25.8975609756098
"Queensland","2019-09-27",329.041798941799,44.2846560846561
"Queensland","2019-09-28",333.257792207792,52.674025974026
"Queensland","2019-09-29",322.361904761905,29.977380952381
"Queensland","2019-09-30",338.646478873239,55.6084507042254
"Western Australia","2019-08-01",324.8,48.4851851851852
"Western Australia","2019-08-02",321.234042553192,31.1404255319149
"Western Australia","2019-08-03",321.872727272727,26.2045454545455
"Western Australia","2019-08-04",326.2,26.2461538461538
"Western Australia","2019-08-05",321.591666666667,73.3666666666667
"Western Australia","2019-08-06",326.315384615385,62.8153846153846
"Western Australia","2019-08-07",327.206451612903,37.9854838709677
